id;file_name;data;data_content_type;file_size;note_id
1;pharmacopoeia after;../fake-data/blob/hipster.png;image/png;24130;1
2;pfft;../fake-data/blob/hipster.png;image/png;15205;2
3;pfft;../fake-data/blob/hipster.png;image/png;24999;3
4;loftily;../fake-data/blob/hipster.png;image/png;17958;4
5;once;../fake-data/blob/hipster.png;image/png;25874;5
6;scrabble;../fake-data/blob/hipster.png;image/png;12794;6
7;after screw;../fake-data/blob/hipster.png;image/png;29287;7
8;for nifty reconsideration;../fake-data/blob/hipster.png;image/png;16832;8
9;youthfully;../fake-data/blob/hipster.png;image/png;1240;9
10;next;../fake-data/blob/hipster.png;image/png;14724;10
